State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn.
MN,85,415,363-1208,no,no,-1,255.2,114,43.4,193.7,84,17.1,276.6,77,11.8,3,5,0.7,3,False.
HI,79,415,334-5263,no,no,-1,42.1,124,,210.1,96,18.4,237.9,54,10.1,10.8,6,2.8,1,False.
ND,35,415,361-4137,no,no,-1,260.9,87,44.2,257.2,79,22.1,131.3,123,5.5,5.2,3,1.3,1,False.
WI,120,408,374-8187,no,yes,25,239.5,94,40.8,258.6,89,22.5,238,131,10,7,4,1.7,0,False.
MN,68,510,370-1525,no,no,-1,226.7,94,38.6,167.5,130,,188.6,116,7.9,9.6,1,2.5,0,False.
DC,60,408,355-3801,no,no,-1,179.3,147,30.2,208,89,18.1,248.2,97,10.7,12.9,7,3.4,1,True.
KS,120,510,392-5605,no,no,-1,158.2,109,27,196.2,104,,154.8,131,6.4,9.4,6,2.6,1,False.
MT,71,510,363-1366,no,yes,22,175.7,82,29.8,258,136,22.2,,154,,13.5,8,3.6,1,False.
WV,124,415,358-5274,no,no,-1,157.4,107,,166.9,112,14.5,189,101,8,8.1,4,2.2,3,False.
ME,23,510,376-9607,no,no,-1,113.2,74,19.2,168,95,14.5,263,125,11,6.1,3,1.6,1,True.
WY,225,415,374-1213,no,no,-1,,142,31.1,245.6,63,21.3,218.1,,9.3,8.3,3,2.2,1,False.
NY,181,415,421-8537,no,no,-1,161.3,83,27.4,123.8,83,10.9,262,97,11,13.4,4,3.4,0,True.
VT,63,415,351-5576,no,no,-1,142.6,92,24.1,207.6,102,18.2,229,119,9.5,6.9,,1.9,2,False.
NC,54,415,407-7258,no,no,-1,190.4,108,32.4,,109,22.4,141.6,110,5.8,9,3,2.5,2,True.
MO,80,408,405-4420,no,yes,14,159.3,110,27.1,169.7,120,14.6,141.3,81,5.6,11.4,6,3,1,False.
NC,118,408,340-2855,no,yes,38,153.9,106,26.2,122.4,111,,117.9,102,4.7,8.7,7,2.1,1,False.
NJ,42,408,342-8002,yes,no,-1,180.7,127,30.5,173.7,94,15.2,165.4,113,6.8,11.4,7,2.9,2,False.
OH,134,408,355-6826,no,no,-1,202.8,105,,224.1,90,19.4,253.9,,10.7,11.7,8,2.9,0,False.
TX,66,415,402-3886,no,yes,34,190.9,100,32.4,260.7,93,22.4,209.5,107,8.7,8.3,7,2.1,0,False.
WA,66,415,336-5900,no,no,-1,205.2,102,34.7,231.7,109,20.2,259.9,,11,8.5,7,2.1,2,False.
TN,127,415,339-7684,no,yes,27,235.7,124,40,236,114,20.3,241.2,126,10.2,7.2,3,1.9,1,False.
HI,146,510,390-2433,yes,no,-1,189.3,77,32.1,155,128,13.7,186.1,82,8,6.8,,1.9,0,False.
WY,93,408,360-7246,no,yes,41,166.8,101,28.2,272.4,85,23.5,171.1,105,6.9,10.8,1,2.7,1,False.
CT,77,415,335-6508,no,no,-1,245.2,,41.5,253.3,83,21.7,239.4,91,10,6.9,5,1.8,0,True.
NM,111,415,348-6720,no,no,-1,132.6,125,22.4,220.2,67,19.1,128,100,5.2,12.1,3,3.1,4,True.
NJ,125,415,406-6400,yes,no,,182.5,64,31,139,121,12.2,171.6,95,7,10.8,7,3,2,False.
AL,115,510,390-7370,no,yes,13,,86,32.4,87.9,91,7.8,229.4,119,9.7,10,3,2.6,2,False.
MN,115,510,390-5055,no,no,-1,121.9,110,,219.3,,19.2,,124,7.5,10.3,2,2.6,2,True.
NC,114,408,405-7542,no,no,-1,192.9,101,32.7,,,21.6,133.4,78,5.4,9,3,2.4,2,False.
OH,106,415,364-4927,no,no,-1,158.8,112,27,219.2,115,18.8,253.1,105,,8.6,4,2.1,0,False.
ND,118,415,329-3458,no,yes,38,91.6,,15.5,219.3,114,19,229,98,9.5,12.2,9,3.2,2,False.
CO,59,510,331-3842,no,no,-1,153.5,92,26.1,204.8,88,17.8,114.7,88,4.6,12,10,3.2,1,False.
ND,87,415,343-4147,no,yes,40,221.6,79,37.5,156.3,75,13.6,222.5,123,9.5,10.8,4,2.9,1,False.
NY,21,415,335-2274,no,no,,244.7,81,41.3,167.1,117,14.5,281.5,86,12,6,2,1.5,1,False.
WI,142,408,343-3227,,yes,23,239.8,103,40.5,285.1,65,24.6,256.8,105,10.8,8.8,5,2.1,0,False.
WY,62,415,336-6907,no,no,-1,172.5,132,29.2,229.5,100,19.7,,108,9.8,10.3,6,2.4,0,False.
OR,149,415,331-1391,no,no,-1,242.5,83,41,244.4,98,21.1,219.7,79,9.3,9.2,3,2.4,3,True.
CO,54,510,360-1643,no,yes,38,117.7,82,19.9,158.3,60,13.8,236.4,112,10,10.9,10,,2,False.
LA,112,510,410-2518,no,no,-1,174.6,127,29.8,258.3,71,22.4,170.5,119,7,10.7,7,2.8,1,False.
AL,68,510,344-4970,yes,no,-1,157.2,83,26.5,220.1,85,19,218.9,128,9.4,11.3,8,3,1,False.
TX,201,415,408-1486,no,yes,20,192,97,32.6,238.3,81,20.6,,124,4.7,14.4,4,3.7,1,False.
PA,88,510,396-1648,no,,-1,218.2,76,37.1,168.7,60,14.6,141.1,98,5.8,7.2,2,1.9,1,False.
IL,85,415,391-2022,no,yes,28,144.8,97,24.4,139.2,102,12.1,165.5,147,7,10.3,4,2.7,1,False.
DE,51,415,420-6465,no,no,-1,153.6,108,26,232.1,86,20,214.3,91,9.1,13.7,4,3.6,0,True.
MO,45,510,398-2628,,yes,,135.9,104,22.9,221.7,102,19.1,235.6,91,9.8,7.2,7,1.8,2,False.
AR,116,510,409-5519,no,no,-1,160.7,69,27.1,146,107,,287.9,143,,7.5,5,2,0,False.
OH,146,408,391-8554,no,yes,30,,91,34.3,240.6,109,,169.7,76,6.9,7.1,3,1.9,1,False.
WI,63,510,395-1693,no,yes,33,152.2,119,26,226.3,91,19.7,195.8,102,8.1,11.8,6,3.2,1,False.
GA,133,510,393-3194,no,no,-1,227.5,90,38.5,72.3,,6.4,114.5,98,4.5,4.1,7,1,0,False.
KY,125,408,328-3402,no,no,-1,191.7,115,32.5,204.6,108,17.8,210.2,122,8.8,8.6,4,2.2,2,False.
OH,72,510,411-4781,no,no,-1,138.7,110,23.4,210.7,102,18.1,179.6,90,7.4,10.2,4,2.7,1,False.
TN,130,408,401-2581,no,no,-1,127.1,102,21.4,,108,17.6,231.7,98,9.7,,7,1.3,0,False.
SD,97,415,385-1214,no,,-1,168.7,87,28.5,258.5,105,22.3,279.7,122,11.8,6.5,5,1.6,1,False.
NY,54,415,348-6853,no,no,-1,,73,48.5,222.4,109,19.3,203.8,106,8.5,10.8,6,2.9,1,True.
GA,160,415,341-8412,no,yes,28,164.7,121,27.9,261.9,109,22.7,,130,5.1,14.5,5,3.9,1,False.
TX,79,415,330-8142,no,no,-1,144,90,24.2,135,91,11.7,212.4,128,9,12.4,5,3.2,1,
WV,92,415,361-1404,no,yes,46,141.5,95,24,207,131,17.9,,94,8.6,9.5,12,2.5,0,False.
MI,59,415,375-9671,no,no,-1,204.3,65,34.4,246.4,123,21.3,214.8,93,9.1,11.5,4,3,1,False.
ND,132,510,372-1824,yes,no,-1,163.3,80,27.6,166.7,,14.5,87.5,89,3.2,5.8,11,1.4,1,False.
NE,21,510,408-3606,no,no,-1,225,,38,243.4,112,21,221.3,,9.4,10,5,2.7,0,False.
SD,93,415,333-3595,no,no,-1,176.2,103,30,198.9,130,17.3,264,95,11.2,7.9,7,2,2,False.
NJ,147,415,379-7009,no,yes,35,254.4,78,43.1,227.3,105,19.8,98.1,124,3.8,13.1,8,3.5,5,False.
AK,101,510,411-4940,no,no,-1,175,105,29.6,261.2,76,,210.1,92,8.9,7.9,6,2,1,False.
CT,125,415,409-7523,no,no,-1,187.4,118,31.6,160,112,14,263.9,111,11.3,,3,2.4,-1,True.
CO,63,415,408-6725,yes,no,-1,211.8,84,35.9,230.2,137,19.8,217.1,98,9.1,10.2,10,2.5,3,False.
MD,107,415,350-2384,no,no,-1,241.9,102,41,,117,11,185.6,92,7.6,11.1,,2.9,,
ND,110,408,348-1706,yes,,-1,196.2,103,33.3,198.8,123,17.5,136.1,70,5.6,12.2,2,3.2,3,False.
NH,83,415,415-6145,no,no,-1,231.3,100,39.2,209.6,85,18.1,217.3,105,9.1,11.7,2,3.2,3,False.
MN,117,408,373-3731,no,no,-1,161.7,104,27.3,195.5,119,16.9,294.8,110,12.8,13.4,3,3.3,1,False.
KY,124,415,341-3349,no,no,-1,194,103,32.9,240.2,116,20.8,227.6,152,9.6,11.2,,3,0,False.
NH,115,510,399-8859,no,no,-1,109.7,148,18.4,,87,19.1,240.3,95,10.2,14.9,9,3.8,3,
CO,156,408,377-4518,yes,no,-1,277,119,46.7,237.5,106,20.4,94.5,95,3.6,7.7,4,1.9,1,False.
KY,89,408,341-1594,no,no,-1,192.2,83,32.5,162.8,89,14.2,169.7,137,6.9,5.3,3,1.5,0,False.
KY,72,415,418-8770,no,no,-1,198.3,147,33.5,216.3,121,18.6,112.8,124,4.2,12.5,4,3.2,0,False.
IN,101,415,332-9118,no,,41,209.3,82,35.6,159,75,13.8,181.7,99,7.7,8.8,4,2.5,0,False.
OR,53,415,386-1418,no,no,-1,184.8,98,31.4,215.6,125,18.6,141.2,115,5.7,,4,4.8,2,False.
SD,116,408,393-3535,no,no,-1,167.7,119,28.5,141.2,123,12.3,190.7,,7.9,6.6,4,1.7,2,False.
DE,78,408,328-9006,no,no,-1,139.3,140,23.5,190.7,113,16.5,286.6,124,12.2,11.2,4,2.9,,False.
OR,117,415,402-2482,no,,16,221.2,82,37.4,166.7,100,14.6,262.7,86,11.2,,5,0.9,0,False.
NE,56,510,408-4865,no,no,-1,121.6,84,20.6,164.6,115,14.4,244.1,94,10.3,8.2,3,2.2,1,False.
OH,123,408,396-6247,no,yes,38,270.2,99,45.8,244.6,111,21.1,109.1,112,4.2,14.9,8,3.8,1,False.
OH,127,408,396-9462,no,no,-1,139.7,94,23.5,240.1,,20.7,127.1,87,5.2,8.2,5,2.2,2,False.
AR,116,415,396-9279,no,yes,,253,78,42.8,138,122,11.9,277.8,103,11.9,11.2,4,3,2,False.
KS,138,510,363-8715,no,yes,25,184.1,83,31.2,239.8,93,20.6,,124,7.8,14.4,3,3.6,1,False.
TX,120,415,356-1358,no,no,-1,203.3,108,34.4,,67,22.4,116.1,102,4.5,7.1,2,1.8,3,False.
WI,102,408,360-7839,no,no,-1,200.7,106,,,128,13.4,199.4,127,8.5,7.1,3,1.7,3,False.
OR,95,415,364-8774,no,no,-1,167.7,96,28.3,175.3,90,15.3,251.1,,10.7,12.7,6,3.4,2,False.
VA,102,408,348-5038,no,no,-1,156.6,67,26.5,203.5,104,,142,71,5.6,9.3,3,2.2,2,False.
AR,89,415,365-4728,no,yes,24,215.1,140,36.5,196.7,70,17.3,162.2,117,6.7,9.9,,2.5,1,False.
CT,50,408,351-9037,no,no,-1,301.6,82,51,166.4,118,14.6,72.1,88,2.5,9.9,7,2.5,1,False.
OH,93,415,397-9184,no,yes,41,152.2,90,25.9,266.7,103,22.9,266.9,130,11.4,10.8,5,2.7,,False.
WY,68,510,398-4538,no,no,-1,195.5,115,33.2,211.2,102,18.2,138.5,133,5.5,14.3,12,3.7,1,False.
IL,70,408,382-6827,no,no,-1,208.7,97,35.4,274.9,83,23.7,182.7,121,7.6,7.3,,1.9,2,False.
MO,138,415,408-1340,no,yes,,190.1,87,32.2,222.3,124,19.1,256.2,129,10.9,13.5,7,3.5,0,False.
DC,141,415,333-9511,no,yes,36,,87,31.5,177.7,128,15.4,218.4,106,9.1,7.4,4,1.8,4,False.
MA,112,415,358-7379,no,yes,16,183.2,95,31.1,252,125,21.8,156.7,94,6.6,9.2,3,2.4,0,False.
NH,117,510,397-1766,,no,-1,54.3,100,9,302.5,84,25.9,172,,7,7.8,3,2.2,1,True.
IA,1,408,331-2144,no,yes,25,208.1,115,35.4,184.2,113,16,177.6,143,7.3,7.5,10,2,1,False.
AL,70,415,345-7014,no,no,-1,230.2,110,39.2,77,88,6.9,247,104,10.4,12.7,5,3.3,1,False.
OR,87,510,395-1898,no,yes,21,240.8,102,40.7,,107,7,224.7,114,9.5,6.4,4,1.7,2,False.
WV,52,510,373-8920,no,yes,20,195.5,119,33,105.4,95,9.3,157.5,,6.5,4.7,4,1,2,False.
WA,97,408,373-8908,no,no,-1,276.1,82,46.9,200.4,106,17.3,231.4,72,9.8,8.4,5,2.2,0,True.
NV,105,408,415-1203,no,no,-1,166.1,93,,175,107,15.4,243.5,54,10.4,15.5,4,4.2,2,False.
SC,77,510,369-7017,yes,yes,27,135.7,117,23.1,243.7,102,20.9,,73,8.8,10.8,4,2.9,4,
NC,80,415,420-8435,no,no,-1,189,122,32.1,222.4,92,19.5,269.2,115,11.4,13.5,4,3.5,2,True.
NH,120,510,395-2579,no,yes,,177.9,117,30.2,174.4,71,15.2,161.4,116,6.5,10.8,5,2.8,1,False.
WY,54,408,405-7850,no,yes,38,143.9,73,,209.5,118,18.3,129.2,116,5.1,11.9,9,3.1,2,False.
FL,148,510,394-7710,no,no,-1,148.2,138,25,158.6,124,,197.5,61,8.2,7.9,4,2,,False.
PA,119,408,342-4122,no,no,-1,287.1,115,48.8,158.3,100,13.7,216.9,86,9.2,13.4,2,3.6,2,True.
NC,162,408,340-1876,no,,25,179.8,144,30.5,217.2,129,18.7,212.4,104,8.9,8.5,8,2.2,1,True.
MO,85,510,383-6095,no,no,-1,165.8,96,28.2,189.1,142,16.5,144.2,116,5.9,10.3,3,2.7,5,True.
KS,101,510,413-1061,yes,yes,24,144,144,24.3,166.9,106,,240.1,106,10.3,13.9,4,3.7,1,False.
KY,172,415,343-5347,no,no,-1,172.6,85,29.3,252.3,72,21.7,221.8,112,9.5,5.3,7,1.3,0,False.
DE,80,415,376-4861,no,no,-1,199.8,138,34,166.4,91,14.5,272,93,11.7,5.1,4,1.2,1,
WI,67,510,417-2265,no,no,-1,109,134,18.4,141.5,76,12.2,91.2,85,,10.3,6,,2,False.
CO,86,408,419-7415,no,no,-1,171.8,106,29.1,300.9,44,26,139.4,107,5.5,8.9,5,2.3,1,False.
NM,107,415,407-2259,no,no,-1,222.4,101,37.7,285.1,111,,249.5,117,10.6,11.4,5,3.1,1,True.
DE,133,510,333-2906,yes,no,-1,245.7,102,41.8,263.9,91,22.6,111.8,102,4.4,,8,2.8,0,False.
IL,116,510,360-7477,yes,no,-1,164.7,110,27.9,269.8,,23.3,230.5,108,9.7,7.6,4,1.9,-1,False.
WA,63,408,342-5243,,no,-1,211.9,107,35.9,270.9,77,23.4,,107,8.4,6.8,8,1.8,0,False.
MA,119,408,417-3999,no,yes,15,147.2,103,24.9,159.3,96,14,184,119,7.7,7.1,3,1.7,0,True.
OH,133,408,379-1720,no,no,-1,254.6,103,43.1,251.4,80,21.8,178.1,102,7.4,7.5,4,1.9,0,True.
TN,94,408,368-3117,no,no,,170.2,113,28.8,271,94,23.1,110.7,77,4.3,8.4,5,,1,False.
MA,69,510,352-5000,no,no,-1,195.1,90,33.1,260.7,58,22.3,203.8,89,8.4,10.6,6,2.8,0,False.
MI,146,408,405-7676,yes,no,,149.3,83,,186.5,130,16.2,149.9,99,6.1,7.2,5,1.9,7,True.
TX,119,510,361-2349,no,no,-1,82,75,13.8,252.9,114,21.7,213.4,124,9,,2,2.1,2,True.
NH,142,408,383-2901,no,yes,24,191.1,109,32.5,148.7,121,13.3,228.1,59,9.6,,3,2.4,0,False.
MD,123,408,369-7049,no,no,-1,206.9,114,35.1,223.5,86,19.4,197.6,59,8.2,7.7,3,1.9,3,False.
MS,101,408,387-5533,no,no,-1,239,156,40.5,272.2,106,,278.2,92,11.9,13.1,,3.4,1,True.
AZ,43,415,362-3660,yes,no,-1,,97,30.6,252,127,21.7,227.4,113,9.7,7.5,6,1.9,0,False.
IN,69,408,357-3577,,no,-1,185.2,91,31.4,218.3,88,18.9,243.9,106,10.2,4.8,6,1.3,0,False.
NY,15,510,394-3312,no,no,-1,141.4,80,23.9,123.3,76,11.1,323.4,,13.9,7.6,3,2,2,False.
WI,107,510,395-8330,yes,yes,24,248.5,91,42.2,118.4,116,10.4,194.3,82,7.9,11.5,2,,1,False.
WV,67,510,373-8895,no,no,,152.4,131,,251.5,108,21.8,185.6,103,7.6,4.4,3,1.2,2,False.
NY,99,415,386-4581,no,no,-1,145.8,102,24.6,230.1,88,20,181.5,85,7.3,11,8,2.8,1,False.
OK,46,415,354-8191,yes,no,-1,164.4,116,27.9,195.2,153,16.9,236.2,118,9.9,7.3,2,2.1,1,False.
NC,55,408,359-7562,no,no,-1,220.9,115,37.5,164.6,98,14.4,235.4,116,10.1,9,5,2.3,1,False.
KY,39,415,359-4336,,no,-1,295.5,125,50.2,231.2,117,20,204.4,122,8.5,10.9,3,2.9,1,True.
TX,92,510,336-9901,no,no,-1,139.8,98,23.7,174.1,144,15.3,201.8,,8.4,8.8,8,2.5,2,False.
CT,56,415,406-3069,no,no,-1,162.4,99,27.7,148.2,79,12.9,255.4,114,10.8,14.3,2,,4,True.
NE,76,415,334-6519,,no,-1,,97,46.3,235.6,96,20.2,235.5,104,10,7,3,1.8,0,True.
HI,132,408,361-8113,no,yes,32,200.3,75,34,225.7,68,19.7,,90,8.3,12.3,3,3.3,2,False.
SC,140,510,347-9769,no,yes,27,157.1,77,26.6,171.5,97,14.9,184.7,93,7.6,10.5,10,2.9,1,False.
AK,51,510,352-9130,no,yes,11,135.6,60,23,199.8,135,17.4,192.4,97,8.1,11.7,8,2.9,2,False.
SD,27,408,378-4557,no,no,-1,,110,40.3,231.2,93,20.1,164.7,84,6.7,12.3,6,3,1,False.
ID,224,510,360-8919,no,,-1,111.3,133,18.8,174.1,66,15.4,217.3,106,9.2,4.9,6,1.2,3,False.
OK,105,510,405-4109,no,yes,27,156.2,89,26.5,106.4,114,9.4,167.7,95,6.8,14.2,3,3.7,0,True.
WA,117,408,381-2498,yes,no,-1,191.1,93,32.4,282,,24.4,85,117,3.3,11.4,4,3,,
SD,91,415,357-5696,no,,-1,153,123,25.7,140.3,127,12.3,171.5,75,7.2,9.5,16,2.6,1,True.
OH,135,415,412-2947,no,no,-1,218.8,123,37.3,242,65,20.9,85.9,79,3,9.7,4,2.5,4,False.
VA,146,415,363-3571,no,no,-1,205.4,,34.9,134,77,11.9,310.6,82,13.1,9.8,2,2.5,3,False.
WI,147,415,405-5403,yes,no,-1,225.3,111,38.4,184.2,99,,,145,5.9,9.4,1,2.4,0,True.
IN,68,510,330-9354,no,no,-1,250.1,127,42.4,253.7,119,21.8,273.2,97,11.6,8.3,6,2,2,True.
NM,68,408,396-7091,no,no,-1,131.7,89,22.2,136.1,110,12,256.2,106,10.9,9.5,6,2.5,3,False.
HI,86,408,398-3004,no,yes,20,197.8,99,33.5,165,100,14.4,208.1,119,8.6,9.7,,2.5,0,False.
KY,131,415,400-4020,no,no,-1,166.4,129,28.3,209.6,107,18.1,257.2,92,11.1,9.5,6,2.4,1,False.
OH,86,415,356-3448,no,yes,28,225.4,79,38.2,186.2,112,16.2,,111,12.1,12.1,4,3.2,1,False.
VT,159,415,335-2019,no,no,-1,,103,46.7,188.8,108,16.4,224,92,9.5,6.8,5,1.7,2,True.
AZ,134,415,332-6633,no,yes,39,142.9,105,24.1,88,62,7.7,290.2,96,12.3,10.3,,2.7,1,False.
VT,113,510,359-7648,yes,no,-1,207.4,112,35.1,255.2,81,22,210.8,86,8.8,9.3,1,2.5,1,False.
MO,132,408,412-9190,,no,-1,206.2,100,35,210.4,118,18.2,196.2,121,8.3,9.7,7,2.4,1,False.
AL,85,415,368-9007,no,no,-1,210.4,66,35.7,195.1,76,16.9,221.7,81,9.3,10.6,8,2.6,1,False.
NJ,93,510,384-5632,no,,37,225.6,,38.3,118.9,122,10.3,193.3,124,8.1,13.3,7,3.5,1,True.
WA,174,408,352-6068,no,yes,32,167.8,91,28.4,204.6,92,17.7,,131,5.1,13.9,5,3.8,4,True.
NY,61,415,343-9645,no,no,-1,,118,33.4,151.3,96,13.2,221,92,9.3,6.4,4,1.7,2,False.
DC,91,415,384-7873,no,yes,38,169.8,105,28.8,64.3,116,5.8,144.3,91,5.8,10.2,4,2.6,1,False.
NE,88,408,396-2187,no,yes,27,190.6,104,32.2,236.5,106,20.4,211.7,115,8.8,9.1,2,2.5,2,False.
MA,88,408,383-5109,no,yes,44,80.4,140,13.6,152.6,101,13.3,309.5,122,13.4,12.1,4,3.1,2,False.
VT,195,415,377-7843,no,yes,35,231.8,110,39.4,224.2,89,19.2,201.8,88,8.5,11.3,2,3.1,0,False.
NM,182,415,382-7999,,no,-1,69.2,114,11.6,229.5,109,19.8,256.8,95,10.8,5.9,5,1.4,0,False.
CO,118,408,328-1222,yes,no,-1,188.8,60,31.9,216.7,64,18.9,220.2,99,9.4,7.5,8,1.9,4,False.
NH,103,408,371-1727,no,no,-1,150.6,125,,168.2,126,14.6,221.2,104,9.1,9.8,9,2.4,8,True.
IL,65,510,369-8871,no,no,-1,192,,32.6,138.6,88,12.1,187.4,101,7.6,4.8,4,,2,False.
UT,61,408,335-9726,no,yes,24,163.7,78,27.6,112.2,112,9.9,134.2,117,5.3,9.5,3,2.3,3,False.
WV,172,415,357-3709,no,no,-1,211.7,100,35.8,197.8,101,17.4,301.7,135,13.1,5.9,10,1.4,1,False.
NJ,72,415,422-9964,no,no,-1,175.5,103,29.8,131.4,120,11.7,243.1,96,10.4,11.2,4,2.9,1,False.
NM,113,510,366-9211,no,no,-1,150.1,120,25.5,199.3,86,17.3,266.8,104,11.2,10.4,4,2.7,2,False.
ND,177,408,384-9033,no,no,-1,189.7,99,32.2,175.4,117,15.2,226,111,9.5,13.5,3,3.6,1,False.
WA,100,408,382-4932,no,no,-1,70.9,94,11.9,214.9,103,18.5,230.8,124,9.9,8.8,2,2.2,6,
NM,67,415,404-7518,no,no,-1,215.5,102,36.7,,95,16.6,214.6,105,9,,7,2.1,0,False.
DE,136,415,353-1954,no,no,-1,101.6,105,17.1,201.9,99,17.6,136.3,118,5.5,8.9,7,2.4,3,False.
GA,71,415,391-7166,no,no,-1,258.3,132,43.9,125.9,120,,182.4,86,7.6,9,,2.5,4,False.
HI,134,408,370-9000,no,no,-1,242.3,126,41.2,152,115,13.4,318.4,114,13.8,11.2,7,2.9,1,False.
CT,124,415,332-3642,no,no,-1,132,82,22.4,283.8,,24.4,305.7,100,13.1,10.9,3,2.7,1,False.
NJ,84,415,412-3898,no,no,-1,190.3,102,32.2,196.8,142,17,247.5,101,10.6,9.3,7,2.4,2,False.
ME,39,408,366-5640,no,no,-1,154.1,104,26.2,203.4,112,17.7,196.2,91,8.4,9.3,5,2.1,2,False.
OK,110,510,356-2302,no,no,-1,188,127,32.1,89.6,118,7.8,150.3,63,6.2,14.6,3,3.8,3,False.
TN,102,510,345-9018,no,no,-1,103.2,70,17.5,274.3,129,,141.2,91,5.7,,5,2.6,1,False.
WY,70,415,365-6205,no,no,-1,175.3,130,29.6,158.7,131,,260.6,95,11,10.9,5,2.8,0,False.
NY,142,415,337-1151,no,no,-1,145.5,93,24.5,208.3,99,18.1,213.9,96,8.9,10.4,2,2.6,,False.
DE,81,510,374-4664,no,no,-1,250.6,85,42.5,187.2,50,16.4,120.3,131,4.8,,,2,1,False.
RI,17,415,396-9656,no,no,-1,161.5,123,27.2,213.5,81,,315,105,13.4,8.1,6,2.1,1,False.
PA,119,408,377-5043,no,no,-1,260.1,101,44.1,255.9,68,22.1,229.3,88,9.6,9.4,2,2.4,1,True.
HI,105,415,401-7359,no,no,-1,281.4,124,47.7,300.8,96,25.9,202.9,108,8.5,8,4,1.9,0,True.
MD,108,415,375-2184,no,yes,41,130.4,90,21.9,166.1,128,14.6,244.7,79,10.5,,5,3.3,3,True.
VA,90,415,367-6005,no,no,-1,102.1,118,17.3,112.6,134,9.9,188.6,104,8,10.7,3,2.8,,False.
IN,100,415,364-2166,no,yes,32,218.5,104,37,154.2,144,13.4,98.9,117,3.8,11.4,5,3,1,False.
OR,155,408,414-4741,no,yes,29,128.6,86,21.8,187.7,91,16.1,254.5,84,,6.1,6,1.6,1,False.
AZ,113,510,403-9719,no,no,0,128.7,100,21.8,226.1,68,19.6,178.1,135,7.3,,5,2.3,2,True.
WI,123,415,371-8452,,,-1,172.3,,29.2,161.8,77,14.1,250.4,100,10.7,8.1,4,1.9,1,False.
VA,145,408,392-6239,no,no,-1,199.3,124,33.7,125.1,86,11.1,289.3,134,12.4,7,4,1.8,1,False.
MO,42,415,410-5250,no,no,-1,184.5,98,31.3,199.8,93,17.1,,91,12,,4,2.3,2,
NV,125,510,336-1574,,no,-1,168.6,99,28.7,174.7,107,15.3,243.4,91,10.5,10.3,8,,0,False.
HI,131,415,406-8324,no,yes,29,174,118,29.3,204.4,81,17.7,218.5,89,9.1,,4,1.6,1,False.
WA,107,415,411-7110,no,no,-1,230.4,65,39.2,256.4,81,22.1,107.3,,4.1,7.8,3,1.9,1,False.
IL,48,408,341-9907,no,no,-1,198.5,73,33.4,201.9,116,17.7,146.4,72,6,4.6,6,1.1,1,False.
IL,76,510,400-8952,,no,-1,186.1,96,31.6,210.8,100,18.4,230.5,99,9.7,7.3,5,2,0,False.
LA,128,415,333-9266,no,no,-1,148.5,105,25.1,,107,,255.2,,10.9,6.3,3,1.7,1,False.
WI,73,415,419-4894,no,no,-1,157.1,109,26.7,268,83,23,181.6,,,,9,2.3,,False.
TX,52,415,364-9904,no,no,-1,154.9,110,26.2,132.6,105,11.7,176.2,,7.4,6.4,5,1.5,4,
MI,126,415,394-3048,no,yes,25,129.2,123,21.9,,114,15.4,154.5,101,6.3,9.3,8,2.3,1,False.
NC,124,415,352-6265,no,no,-1,188.4,77,32,181.5,124,15.7,,126,9.2,5.5,7,1.4,1,False.
WA,137,408,357-3187,no,no,-1,208.7,120,35.4,224.5,100,19.5,221.4,129,9.4,10.5,6,2.7,0,False.
ND,71,510,373-8483,no,no,-1,238.3,82,40.3,277.6,95,24.1,193,133,7.8,11.1,,2.9,0,
NE,139,415,375-9930,no,no,-1,211,103,35.7,206,109,17.9,194,69,8.1,5.1,5,1.2,0,False.
MS,107,510,352-6282,no,yes,29,198.9,87,33.4,206.2,90,18,159.9,75,6.4,12.1,5,3.1,3,False.
KY,147,408,396-2945,no,no,-1,212.8,79,36.1,203.4,91,17.8,156.4,112,6.4,9.7,3,2.5,1,False.
RI,116,510,412-3527,no,no,-1,137.4,126,23.5,119.1,95,10.5,130.3,63,5.1,11.7,3,3,3,False.
NY,60,510,328-4231,no,yes,30,,75,32.3,266.9,135,23.1,200.5,61,8.2,12.3,4,3.2,2,False.
TX,38,510,413-9055,no,no,-1,149.2,,25.4,48.3,79,4.4,163.3,92,6.7,13.3,12,3.5,0,False.
DE,63,408,363-8755,yes,no,-1,117.1,118,19.8,248.7,90,21.5,162.3,83,6.7,10.6,5,2.7,3,False.
NM,94,415,388-8891,no,no,-1,108,79,18.3,241.2,152,20.9,252.1,91,,9.8,4,2.5,3,False.
RI,131,415,360-1776,no,no,-1,112.9,133,19.1,198.5,116,17.1,142.8,104,5.7,9.5,6,2.5,0,False.
MS,158,510,411-3578,no,no,-1,176,105,29.8,187.6,88,16.4,188.5,97,7.7,10.4,7,2.6,1,False.
NY,139,510,399-7268,,,-1,236.6,109,40.1,169.1,108,14.8,212.5,117,8.8,10.4,3,2.7,1,True.
NE,77,415,350-1532,no,no,-1,169.5,102,28.5,183.9,145,15.9,234.5,88,9.8,1.3,8,0.1,1,False.
WI,140,415,359-2197,no,no,-1,129.5,79,21.9,245.6,99,21.1,172,123,,8.9,11,2.2,3,False.
